node_id|image|label|html_content|color
1|d1|Természet|A Rajna mélye mint differenciálatlan természet; embrió-motívum|green
2|d2|Rajna|Az első mozgás a Rajna mélyén, mint a tudat előérzete|lightblue
3|d3|Erda|Erda, a Földanya mint az ősi bölcsesség|lightblue
4|d4|Az istenek alkonya|Az istenek alkonya: visszatérés az anyatermészetbe|lightblue
5|d5|Bukás|Az istenek alkonya, a régi rend bukása; Götternot|lightblue
6|d6|Freia, mint szerelem|Freia mint a fiatal szerelem megtestesítője|lightblue
7|d7|Freia aranyalmái|Freia aranyalmái mint az öröm és a halhatatlanság jelképei|lightblue
8|d8|A gyűrű|A gyűrű mint az Én alapvető célja|gold
9|d9|Töprengés|Céltudatos töprengés|lightblue
10|d10|A Nornák kötele|A Nornák kötele, a sors fonala|lightblue
11|d11|Engesztelés|Az engesztelés mint a sors hatalma|lightblue
12|d12|Kötelesség|A kötelesség mint a sors kifejeződése|lightblue
13|d13|Az átok|Alberich átka mint az átalakulásra késztető erő|lightblue
14|d14|Wotan szerződései|Wotan szerződései: a szerződések szentsége, a sors kifejeződése|lightblue
15|d15|Alberich akarata|Alberich mohó akarata mint a sors hatalma; a Nibelungok gyűlölködése|lightblue
16|d16|Varázslatos álom|Varázslatos álom: visszaesés az öntudatlanságba|lightblue
17|d17|A Vándor|Wotan, a vándor mint a bölcs öregember, aki kapcsolatban áll a tudattalannal|lightblue
18|d18|A ködsüveg|A Ködsüveg mint az öntudatlan fantázia|lightblue
19|d19|A varázsital|A varázsital mint az öntudat elnyomása|lightblue
20|d20|Loge, mint tűz|Loge, a tűz istene mint a tudattalanból előtörő ősenergia|lightblue
21|d21|Ármányos Loge|Loge mint az ősenergia ambivalenciája: hízelgés és csalás|lightblue
22|d22|Walkűrök|A walkűrök mint az ősenergia cselekvés közben; Walkürenruf|lightblue
23|d23|A Nornák|A Nornák mint az öntudat előérzetei|lightblue
24|d24|Sötétség|Sötétség mint az öntudatlanság szimbóluma|lightblue
25|d25|Napfény|Napfény mint az öntudat visszatérése; Weltbegrüßung|lightblue
26|d26|Rajnai sellők|A rajnai sellők dala mint az éretlen ártatlanságba való visszatérés csábítása|lightblue
27|d27|Az erdő madara|Az erdei madár éneke mint az éretlen ártatlanság kezdeményezője|lightblue
28|d28|Ártatlan öröm|A napfény csillogása az aranyon a víz alatt, mint a gyermekkor ártatlan emléke|lightblue
29|d29|Erdei susogások|Az erdei susogások mint Siegfried gyermeki ártatlansága és játékos gondolatai|lightblue
30|d30|Ártatlan alvás|Brünnhilde ártatlan álomba merülése, amelyből nővé érve ébred majd|lightblue
31|d31|A Rajna kincse|Rheingold! Rheingold!|lightblue
32|d32|Rajnai sellők az Istenek alkonyában|A rajnai sellők éneke az Istenek alkonyában|lightblue
33|d33|Rajnai sellők öröme|A rajnai sellők csalóka öröme|lightblue
34|d34|Ártatlan öröm|Valódi, ártatlan öröm|lightblue
